x1 y1 x2 y2 trajectory_index cluster
200 1552  243.88 1551.91  0 0
243.88 1551.91  251.96 1551.24  0 0
251.96 1551.24  263.27 1548.95  0 0
263.27 1548.95  271.04 1546.21  0 0
271.04 1546.21  281.28 1541.22  0 0
281.28 1541.22  299.78 1528.16  0 0
299.78 1528.16  311.98 1517  0 0
311.98 1517  326.69 1501.17  0 0
326.69 1501.17  361.61 1457.71  0 0
361.61 1457.71  374.39 1440.73  0 0
374.39 1440.73  381.34 1430.03  0 0
381.34 1430.03  386.43 1420.3  0 0
386.43 1420.3  392.98 1401.36  0 0
392.98 1401.36  397.36 1377.91  0 0
397.36 1377.91  400.05 1342.25  0 0
400.05 1342.25  402.01 1284.96  0 0
402.01 1284.96  401.55 1246.39  0 0
401.55 1246.39  397.1 1167.34  0 0
397.1 1167.34  394.53 1144.38  0 0
394.53 1144.38  384.53 1094.89  0 0
384.53 1094.89  379.13 1073.81  0 0
379.13 1073.81  365.6 1040.92  0 0
365.6 1040.92  371.82 1060.85  0 0
371.82 1060.85  371.62 1072.69  0 0
371.62 1072.69  366.94 1089.19  0 0
366.94 1089.19  349.09 1128.8  0 0
349.09 1128.8  341.02 1143.56  0 0
341.02 1143.56  329.45 1158.12  0 0
329.45 1158.12  324.71 1163.18  0 0
324.71 1163.18  316.41 1177.95  0 0
200 1496  236.15 1495.59  1 0
236.15 1495.59  243.59 1494.02  1 0
243.59 1494.02  250.4 1491.36  1 0
250.4 1491.36  258.02 1486.56  1 0
258.02 1486.56  268.82 1476.01  1 0
268.82 1476.01  280.25 1460.62  1 0
280.25 1460.62  292.54 1438.78  1 0
292.54 1438.78  317.9 1385.13  1 0
317.9 1385.13  329.72 1355.45  1 0
329.72 1355.45  335.5 1334.5  1 0
335.5 1334.5  339.04 1313.16  1 0
339.04 1313.16  342.09 1277.92  1 0
342.09 1277.92  344.91 1225.04  1 0
344.91 1225.04  343.95 1199.68  1 0
343.95 1199.68  340.2 1178.13  1 0
340.2 1178.13  334.48 1157.39  1 0
334.48 1157.39  326.93 1136.97  1 0
326.93 1136.97  321.15 1125.45  1 0
321.15 1125.45  314.05 1114.63  1 0
314.05 1114.63  308.23 1107.45  1 0
308.23 1107.45  299.17 1098.26  1 0
299.17 1098.26  292.06 1092.32  1 0
292.06 1092.32  272 1079.09  1 0
272 1079.09  241.83 1063.57  1 0
241.83 1063.57  170.19 1034.19  1 0
170.19 1034.19  135.04 1021.08  1 0
135.04 1021.08  187.44 1043.2  1 0
187.44 1043.2  195.5 1045.77  1 0
195.5 1045.77  207.08 1047.43  1 0
207.08 1047.43  216.13 1046.52  1 0
